(0, 1, 2, 3, 5), ['P', 'D', 'D', 'P', 'P'] 
(0, 1, 2, 5, 3), ['P', 'D', 'D', 'P', 'P'] 
(0, 1, 3, 2, 5), ['P', 'D', 'D', 'P', 'P'] 
(0, 1, 3, 5, 2), ['P', 'D', 'D', 'P', 'P'] 
(0, 1, 4, 5, 6), ['P', 'D', 'D', 'P', 'P'] 
(0, 1, 4, 6, 5), ['P', 'D', 'D', 'P', 'P'] 
(0, 1, 5, 2, 3), ['P', 'D', 'D', 'P', 'P'] 
(0, 1, 5, 3, 2), ['P', 'D', 'D', 'P', 'P'] 
(0, 1, 5, 4, 6), ['P', 'D', 'D', 'P', 'P'] 
(0, 1, 5, 6, 4), ['P', 'D', 'D', 'P', 'P'] 
(0, 1, 6, 4, 5), ['P', 'D', 'D', 'P', 'P'] 
(0, 1, 6, 5, 4), ['P', 'D', 'D', 'P', 'P'] 
(0, 2, 1, 3, 5), ['P', 'D', 'D', 'P', 'P'] 
(0, 2, 1, 5, 3), ['P', 'D', 'D', 'P', 'P'] 
(0, 2, 3, 1, 5), ['P', 'D', 'D', 'P', 'P'] 
(0, 2, 3, 5, 1), ['P', 'D', 'D', 'P', 'P'] 
(0, 2, 3, 5, 6), ['P', 'D', 'D', 'P', 'P'] 
(0, 2, 3, 6, 5), ['P', 'D', 'D', 'P', 'P'] 
(0, 2, 5, 1, 3), ['P', 'D', 'D', 'P', 'P'] 
(0, 2, 5, 3, 1), ['P', 'D', 'D', 'P', 'P'] 
(0, 2, 5, 3, 6), ['P', 'D', 'D', 'P', 'P'] 
(0, 2, 5, 6, 3), ['P', 'D', 'D', 'P', 'P'] 
(0, 2, 5, 6, 7), ['P', 'D', 'D', 'P', 'P'] 
(0, 2, 5, 7, 6), ['P', 'D', 'D', 'P', 'P'] 
(0, 2, 6, 3, 5), ['P', 'D', 'D', 'P', 'P'] 
(0, 2, 6, 5, 3), ['P', 'D', 'D', 'P', 'P'] 
(0, 2, 6, 5, 7), ['P', 'D', 'D', 'P', 'P'] 
(0, 2, 6, 7, 5), ['P', 'D', 'D', 'P', 'P'] 
(0, 2, 7, 5, 6), ['P', 'D', 'D', 'P', 'P'] 
(0, 2, 7, 6, 5), ['P', 'D', 'D', 'P', 'P'] 
(0, 3, 2, 4, 6), ['P', 'D', 'D', 'P', 'P'] 
(0, 3, 2, 6, 4), ['P', 'D', 'D', 'P', 'P'] 
(0, 3, 4, 2, 6), ['P', 'D', 'D', 'P', 'P'] 
(0, 3, 4, 6, 2), ['P', 'D', 'D', 'P', 'P'] 
(0, 3, 4, 6, 7), ['P', 'D', 'D', 'P', 'P'] 
(0, 3, 4, 7, 6), ['P', 'D', 'D', 'P', 'P'] 
(0, 3, 6, 2, 4), ['P', 'D', 'D', 'P', 'P'] 
