(0, 1, 4, 5, 6) ['P', 'D', 'D', 'P', 'P'] 
(0, 2, 5, 6, 7) ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 6, 7, 8) ['P', 'D', 'D', 'P', 'P'] 
(3, 2, 8, 9, 10) ['P', 'D', 'D', 'P', 'P'] 
(3, 5, 8, 9, 10) ['P', 'D', 'D', 'P', 'P'] 
(3, 6, 9, 10, 11) ['P', 'D', 'D', 'P', 'P'] 
(4, 2, 7, 8, 9) ['P', 'D', 'D', 'P', 'P'] 
(4, 5, 10, 11, 12) ['P', 'D', 'D', 'P', 'P'] 
(4, 7, 9, 10, 11) ['P', 'D', 'D', 'P', 'P'] 
(5, 4, 9, 10, 11) ['P', 'D', 'D', 'P', 'P'] 
(5, 8, 10, 11, 12) ['P', 'D', 'D', 'P', 'P'] 
(9, 8, 12, 13, 14) ['P', 'D', 'D', 'P', 'P'] 
(1, 2, 6, 4, 7) ['P', 'D', 'D', 'S', 'D'] 
(1, 6, 3, 7, 5) ['P', 'D', 'D', 'S', 'D'] 
(2, 3, 7, 5, 8) ['P', 'D', 'D', 'S', 'D'] 
(2, 5, 8, 7, 9) ['P', 'D', 'D', 'S', 'D'] 
(3, 2, 7, 4, 8) ['P', 'D', 'D', 'S', 'D'] 
(3, 2, 8, 4, 10) ['P', 'D', 'D', 'S', 'D'] 
(3, 5, 8, 6, 10) ['P', 'D', 'D', 'S', 'D'] 
(3, 6, 8, 7, 10) ['P', 'D', 'D', 'S', 'D'] 
(3, 6, 9, 8, 11) ['P', 'D', 'D', 'S', 'D'] 
(3, 7, 8, 9, 10) ['P', 'D', 'D', 'S', 'D'] 
(4, 9, 6, 11, 7) ['P', 'D', 'D', 'S', 'D'] 
(4, 9, 8, 11, 10) ['P', 'D', 'D', 'S', 'D'] 
(5, 4, 9, 6, 11) ['P', 'D', 'D', 'S', 'D'] 
(5, 8, 10, 9, 12) ['P', 'D', 'D', 'S', 'D'] 
(5, 8, 11, 10, 12) ['P', 'D', 'D', 'S', 'D'] 
(5, 9, 8, 11, 10) ['P', 'D', 'D', 'S', 'D'] 
(7, 8, 12, 10, 13) ['P', 'D', 'D', 'S', 'D'] 
(7, 9, 11, 10, 13) ['P', 'D', 'D', 'S', 'D'] 
(7, 11, 8, 13, 9) ['P', 'D', 'D', 'S', 'D'] 
(8, 10, 12, 11, 14) ['P', 'D', 'D', 'S', 'D'] 
(8, 11, 12, 13, 14) ['P', 'D', 'D', 'S', 'D'] 
(8, 12, 9, 14, 10) ['P', 'D', 'D', 'S', 'D'] 
(11, 8, 12, 10, 14) ['P', 'D', 'D', 'S', 'D'] 
(0, 1, 3, 6, 7) ['P', 'P', 'D', 'D', 'P'] 
(1, 2, 3, 6, 7) ['P', 'P', 'D', 'D', 'P'] 
(1, 2, 3, 7, 8) ['P', 'P', 'D', 'D', 'P'] 
